,distance,k,db,ch,slt,time
0,cosine,5,2.3696277759992626,1833.727421348511,0.3518329786365295,7.9897331000000005
1,cosine,5,2.3919416220397305,1843.816488200399,0.35162809621645286,7.9897331000000005
2,cosine,5,2.3731121211974697,1840.3314738103977,0.35233262620953465,7.9897331000000005
3,cosine,5,2.361168485820997,1811.9670432264404,0.3524729885449158,7.9897331000000005
4,cosine,5,2.3858476689460213,1815.7105725988315,0.35028921277323566,7.9897331000000005
5,cosine,5,2.3518295918543974,1822.815788466994,0.3544991308781217,7.9897331000000005
6,cosine,5,2.3873329566385806,1863.246936497103,0.3554082025998892,7.9897331000000005
7,cosine,10,2.3161158673661832,1206.5469056351276,0.3888540931941363,6.7685593
8,cosine,10,2.3284932204049973,1215.8637784397845,0.38603254826884625,6.7685593
9,cosine,10,2.3577965476417937,1188.7860866118863,0.3827317839055859,6.7685593
10,cosine,10,2.364773752699677,1205.702676439929,0.3873350295743075,6.7685593
11,cosine,10,2.341204820889996,1218.1513143992559,0.39093087809901994,6.7685593
12,cosine,10,2.3662139041536685,1266.374170403639,0.3984443372534263,6.7685593
13,cosine,10,2.3464644619731354,1227.355076562549,0.389896054147816,6.7685593
14,cosine,15,2.091868527491468,1065.2206215976137,0.42910355764940505,4.201563799999999
15,cosine,15,2.0742755987983865,1073.4728609345555,0.4324382591668642,4.201563799999999
16,cosine,15,2.0811023198710012,1059.331698131388,0.42885489030500773,4.201563799999999
17,cosine,15,2.107379212202051,1074.89656682443,0.43127983128653097,4.201563799999999
18,cosine,15,2.0954695407389305,1061.2207608242074,0.42855973012922194,4.201563799999999
19,cosine,15,2.094494336517553,1059.4285672611622,0.4274048181639302,4.201563799999999
20,cosine,15,2.081777808966243,1054.2225037215424,0.4264015354510429,4.201563799999999
21,cosine,20,2.1285204674893463,925.3251053629863,0.41708211348949153,5.632883700000001
22,cosine,20,2.120182758769951,944.9288881742838,0.42499378976913904,5.632883700000001
23,cosine,20,2.112573900046823,936.0421016410297,0.4258375074103662,5.632883700000001
24,cosine,20,2.143559377606792,914.287041773227,0.4213061200737242,5.632883700000001
25,cosine,20,2.143206893863347,917.1869486690582,0.420904294632465,5.632883700000001
26,cosine,20,2.123300927561789,948.2795809883679,0.4259713575981913,5.632883700000001
27,cosine,20,2.112900891822407,960.4787067720769,0.428912984933574,5.632883700000001
28,cosine,25,1.947204923238516,905.8323068805054,0.44262264629604103,4.428638400000004
29,cosine,25,1.9337518105323626,899.4258940491176,0.44759444440621654,4.428638400000004
30,cosine,25,1.9534619001635287,912.1735887395993,0.45108785639087007,4.428638400000004
31,cosine,25,1.9528529227727618,908.5442256274113,0.4442264355154802,4.428638400000004
32,cosine,25,1.9369142382838465,877.2840322003711,0.43560086729468783,4.428638400000004
33,cosine,25,1.9269624864362134,890.7770862541545,0.44135336402416986,4.428638400000004
34,cosine,25,1.961635750736642,904.9051985595587,0.44372796520247765,4.428638400000004
35,cosine,30,1.8234294111839986,855.2173535367461,0.4549102293911768,5.266601300000005
36,cosine,30,1.8297342891490602,862.3181479424953,0.45955423120895156,5.266601300000005
37,cosine,30,1.8377166369832854,851.7105968219788,0.4540663409274568,5.266601300000005
38,cosine,30,1.8064570450589763,884.6103315887686,0.46117374554770596,5.266601300000005
39,cosine,30,1.8107779741299366,871.7816532894585,0.45975091575274846,5.266601300000005
40,cosine,30,1.8175993735403069,864.2689543190328,0.4566044851136214,5.266601300000005
41,cosine,30,1.8104422390797201,891.7501071541434,0.46776521544500826,5.266601300000005
42,cosine,35,1.7368752098961358,825.2246745571805,0.438611937177668,5.836022700000001
43,cosine,35,1.719779379561673,826.8807734541315,0.435003640393795,5.836022700000001
44,cosine,35,1.7163414949165616,842.1108898039871,0.4433018133983478,5.836022700000001
45,cosine,35,1.735700816361364,829.8325137236652,0.4397014405308545,5.836022700000001
46,cosine,35,1.7245352806351661,824.792624640777,0.43603004158985575,5.836022700000001
47,cosine,35,1.732177947848106,829.2546204805348,0.4380766755956573,5.836022700000001
48,cosine,35,1.7222355268386402,822.2849504801356,0.4328660358553254,5.836022700000001
49,cosine,40,1.6237352287029225,802.5630670142226,0.4335463238321274,4.62351360000001
50,cosine,40,1.6252473016517819,785.0504229775083,0.42572332280010977,4.62351360000001
51,cosine,40,1.6181784229591876,804.5353686758264,0.4303325896635977,4.62351360000001
52,cosine,40,1.5906674024425296,772.6235439254862,0.42239330562842353,4.62351360000001
53,cosine,40,1.6151378436294184,786.8088642287177,0.4251011338078868,4.62351360000001
54,cosine,40,1.6234994905527267,788.4046977007142,0.4282545212934295,4.62351360000001
55,cosine,40,1.60278998695058,773.8732114337681,0.4214111755614268,4.62351360000001
56,cosine,45,1.6989480250351099,792.8646572099391,0.4589165317275382,5.396289699999997
57,cosine,45,1.692184056488294,804.3295218832841,0.4607837338671672,5.396289699999997
58,cosine,45,1.6915109985084618,806.1919846202436,0.46176745276845005,5.396289699999997
59,cosine,45,1.7019082359615907,820.0330888537665,0.46920433003067885,5.396289699999997
60,cosine,45,1.7072320922210324,809.0258006573846,0.4598151183692772,5.396289699999997
61,cosine,45,1.6910275588955355,789.0892256312318,0.4596944026345799,5.396289699999997
62,cosine,45,1.7078664370267258,777.3533246903501,0.45269141186261885,5.396289699999997
63,cosine,50,1.5719007501302462,805.2474726891382,0.43693829682664526,4.643612900000008
64,cosine,50,1.588713624306242,795.4933853836319,0.44312647523851856,4.643612900000008
65,cosine,50,1.568386966439528,789.7661952041711,0.43922015669771636,4.643612900000008
66,cosine,50,1.5905036106880683,785.3413632632446,0.4356348421109594,4.643612900000008
67,cosine,50,1.5667892953414742,797.3898905564583,0.43908994972374193,4.643612900000008
68,cosine,50,1.5791770083593926,799.1093729549639,0.4422346515666473,4.643612900000008
69,cosine,50,1.5883478419771324,793.1225565619343,0.4367764498108189,4.643612900000008
70,cosine,55,1.50880746774757,783.5070846216846,0.43069979939717196,4.662334400000006
71,cosine,55,1.5099887544472257,778.3304310240849,0.43360765669418927,4.662334400000006
72,cosine,55,1.5503519920538211,785.6541620535437,0.42573386463483615,4.662334400000006
73,cosine,55,1.5056759973312834,788.2941033561136,0.43737442180855834,4.662334400000006
74,cosine,55,1.4808289134515342,775.5766269194169,0.4267539002543207,4.662334400000006
75,cosine,55,1.4817547540215896,792.7682164369282,0.4315416877626997,4.662334400000006
76,cosine,55,1.5323100152015205,777.4710180257938,0.4240863550300959,4.662334400000006
77,cosine,60,1.4534589732944239,764.8484273713573,0.4504838692042826,5.525392699999998
78,cosine,60,1.465836607408839,766.7764316219476,0.4440604120758674,5.525392699999998
79,cosine,60,1.4311749075680105,761.1489228770424,0.4470309330753227,5.525392699999998
80,cosine,60,1.4535638221307914,734.4107076039742,0.4375220730779289,5.525392699999998
81,cosine,60,1.459305442094066,773.7124148634895,0.4514588520439964,5.525392699999998
82,cosine,60,1.4533839623015967,762.0311882587941,0.4460588150457921,5.525392699999998
83,cosine,60,1.4452654008883494,734.5164094117551,0.4420865636677885,5.525392699999998
84,hellinger,5,2.5463884943600674,1281.8389852145087,0.26375817073207225,3.9845708
85,hellinger,5,2.531624758215309,1250.746141502058,0.2567116594489398,3.9845708
86,hellinger,5,2.5563995587999697,1245.75219126354,0.2559219307968646,3.9845708
87,hellinger,5,2.56356999257891,1240.3287542636265,0.2556062224928737,3.9845708
88,hellinger,5,2.546768793347158,1263.7894024362422,0.261203107280994,3.9845708
89,hellinger,5,2.5412513678374253,1249.4929728185489,0.2574173095019243,3.9845708
90,hellinger,5,2.5405178829555077,1250.0966092785684,0.2555499105725637,3.9845708
91,hellinger,10,2.448604261358814,973.5329692213915,0.27652854638908264,6.027921399999997
92,hellinger,10,2.429072769739973,955.1965755846143,0.2707666553373944,6.027921399999997
93,hellinger,10,2.4204127200663685,976.3153646926892,0.2748531803002838,6.027921399999997
94,hellinger,10,2.422248801563115,970.1366363376779,0.2736609515506643,6.027921399999997
95,hellinger,10,2.411025573647559,996.9441672821142,0.28160444935870577,6.027921399999997
