log-perplexity,k
-7.328707164253846,5
-7.191921081735197,10
-7.147253275971354,15
-7.119083720946745,20
-7.1121111449058345,25
-7.098400025748975,30
-7.106939491283312,35
-7.082448953940802,40
-7.0774944950999945,50
-7.067526411292188,60
-7.080835363898175,70
-7.087680039501078,80
-7.109308676043137,90
-7.12910717977791,100
